ID,SubClass Of
GO:0005575,
GO:0005622,GO:0044464
GO:0005623,GO:0005575
GO:0005634,GO:0043231
GO:0031974,GO:0005575
GO:0031981,GO:0044428|GO:0070013
GO:0043226,GO:0005575
GO:0043227,GO:0043226
GO:0043229,GO:0043226|GO:0044424
GO:0043231,GO:0043227|GO:0043229
GO:0043233,GO:0031974|GO:0044422
GO:0044422,GO:0005575
GO:0044424,GO:0044464
GO:0044428,GO:0044446
GO:0044446,GO:0044422|GO:0044424
GO:0044464,GO:0005575
GO:0070013,GO:0043233|GO:0044446
